,degree_centrality,betweenness_centrality,closeness_centrality
traficogt,0.7476669059583633,0.07593285004880049,0.6787508973438622
mildred_gaitan,0.04522613065326633,0.01061030475721589,0.3406363977912005
prensacomunitar,0.04953338119167265,0.0014857976787784855,0.35096307227792295
manfredoguate,0.02297200287150036,0.0014541159245831628,0.34474800311496534
factor4_gt,0.020100502512562814,0.0011689402446470678,0.34345784752993214
noficciongt,0.013998564249820532,0.0008532982944989117,0.3428130027230273
ep_investiga,0.008614501076812634,0.0007324968004938776,0.34126847479667355
aztecanoticiagt,0.0104091888011486,0.0007302478022325013,0.3419041531690995
ronaldp25524609,0.0035893754486719313,0.0007296033901232245,0.33946520679112496
servoveritatis,0.0021536252692031586,0.000603857107199673,0.33946520679112496
