,degree_centrality,betweenness_centrality,closeness_centrality
traficogt,0.7476669059583633,0.07593285004880049,0.6787508973438622
barevalodeleon,0.11773151471643935,0.0,0.3758356610695888
drgiammattei,0.04809763101220388,5.939331607168097e-06,0.3538959040076115
mpguatemala,0.03732950466618808,6.0982865941230485e-06,0.3530014405681331
cc_guatemala,0.029073941134242644,0.0,0.35171695286995636
prensacomunitar,0.04953338119167265,0.0014857976787784855,0.35096307227792295
mmendoza_gt,0.0419956927494616,0.0005227492510857276,0.3499005403201301
lahoragt,0.03338119167264896,7.111547920233557e-05,0.3482806823638654
muniguate,0.023689877961234746,0.0,0.3466589939355914
msemillagt,0.0208183776022972,6.246225202638448e-05,0.3457320982298812
