,degree_centrality,betweenness_centrality,closeness_centrality
traficogt,0.7476669059583633,0.07593285004880049,0.6787508973438622
barevalodeleon,0.11773151471643935,0.0,0.3758356610695888
prensacomunitar,0.04953338119167265,0.0014857976787784855,0.35096307227792295
drgiammattei,0.04809763101220388,5.939331607168097e-06,0.3538959040076115
mildred_gaitan,0.04522613065326633,0.01061030475721589,0.3406363977912005
mmendoza_gt,0.0419956927494616,0.0005227492510857276,0.3499005403201301
batallonjalapa,0.04020100502512563,2.6074448255886353e-05,0.0007178750897343862
mpguatemala,0.03732950466618808,6.0982865941230485e-06,0.3530014405681331
lahoragt,0.03338119167264896,7.111547920233557e-05,0.3482806823638654
amilcarmontejo,0.033022254127781765,1.2888242185536558e-05,0.03269215977848426
